,track_name,track_id,artist_name,artist_id,album_id
128,90210,2290813,Travis Scott,20185,
129,YOSEMITE,3876940,Travis Scott,20185,
130,CAN’T SAY,3876999,Travis Scott,20185,
131,FE!N,9368459,Travis Scott,20185,
132,STOP TRYING TO BE GOD,3876990,Travis Scott,20185,
133,through the late night,2849757,Travis Scott,20185,
134,NO BYSTANDERS,3876996,Travis Scott,20185,
135,Drugs You Should Try It,499870,Travis Scott,20185,
136,Maria I’m Drunk,714719,Travis Scott,20185,
137,3500,2027385,Travis Scott,20185,
138,MELTDOWN,9368450,Travis Scott,20185,
139,MY EYES,9368452,Travis Scott,20185,
140,Lucid Dreams,3359190,Juice WRLD,1237094,
141,All Girls Are the Same,3389874,Juice WRLD,1237094,
142,Wishing Well,3703705,Juice WRLD,1237094,
143,Robbery,3734871,Juice WRLD,1237094,
144,Legends,3791143,Juice WRLD,1237094,
145,Righteous,4673513,Juice WRLD,1237094,
146,Bandit,4603791,Juice WRLD & YoungBoy Never Broke Again,1969011,
147,Lean wit Me,3735927,Juice WRLD,1237094,
148,Smile,3840488,Juice WRLD & The Weeknd,2348319,
149,Wasted,3762491,Juice WRLD,1237094,
150,Come & Go,4130757,Juice WRLD & Marshmello,2314163,
151,Empty,4106642,Juice WRLD,1237094,
152,Life’s a Mess,5741356,Juice WRLD & Halsey,2311196,
153,Armed and Dangerous,3984929,Juice WRLD,1237094,
154,Blood On My Jeans,4817617,Juice WRLD,1237094,
155,Hate the Other Side,5214785,Juice WRLD & Marshmello,2314163,
156,Cigarettes,4001989,Juice WRLD,1237094,
157,Conversations,4857250,Juice WRLD,1237094,
158,Ransom (Remix),4774206,Lil Tecca & Juice WRLD,2000839,
159,Let Me Know (I Wonder Why Freestyle),3552980,Juice WRLD,1237094,
160,Believer,2970719,Imagine Dragons,29472,
161,Thunder,3044373,Imagine Dragons,29472,
162,Demons,109206,Imagine Dragons,29472,
163,Sucker for Pain,2554106,"Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign",1561539,
164,Whatever It Takes,3080781,Imagine Dragons,29472,
165,Radioactive,98754,Imagine Dragons,29472,
166,Natural,3833988,Imagine Dragons,29472,
167,Bad Liar,4033354,Imagine Dragons,29472,
168,Enemy,5992642,Imagine Dragons & JID,2933124,
169,Radioactive (Remix),348633,Imagine Dragons,29472,
170,Not Today,2463660,Imagine Dragons,29472,
171,Next to Me,3524463,Imagine Dragons,29472,
172,It’s Time,109198,Imagine Dragons,29472,
173,Walking the Wire,3081380,Imagine Dragons,29472,
