track_genre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
chill,0.664346,0.42672289999999996,-10.460977999999999,0.613,0.10216710000000001,0.5340969548000001,0.17802204236,0.1682,0.4037695,115.479376
classical,0.3819228,0.189827326,-20.145216,0.745,0.0508306,0.9200489485,0.6192076276599999,0.1668376,0.38105,107.949793
club,0.6033541,0.7217338,-6.900815,0.66,0.0943238,0.15939126669,0.34782217578,0.1993685,0.3682132,123.301328
comedy,0.577195,0.699934,-10.457473,0.719,0.7556253,0.726476182,0.00052477331,0.6616660000000001,0.4548455,100.995582
country,0.555294,0.5968052,-7.281778,0.889,0.042268,0.321226736,0.00558462043,0.1772382,0.5214813,123.963307
dance,0.687856,0.708583,-5.362527,0.533,0.0876378,0.1311856039,0.00835941532,0.1681884,0.5525414,120.128306
dancehall,0.734169,0.6852619999999999,-6.119958,0.488,0.1869861,0.215493569,0.0071340299600000006,0.1567694,0.6290086,112.909984
death-metal,0.36841090000000004,0.93147,-5.350307,0.608,0.1112591,0.0066957065,0.27573075265,0.2432416,0.2476111,123.779016
deep-house,0.710448,0.741855,-6.971501,0.462,0.0599097,0.10145172488,0.23761450877,0.1708076,0.4472821,120.874904
detroit-techno,0.722568,0.7105123999999999,-11.085944,0.499,0.07271670000000001,0.06564069705999999,0.6995483518,0.15450909999999998,0.4692299,126.59223399999999
disco,0.676692,0.737565,-7.422032,0.627,0.0592516,0.1662128304,0.08095198711,0.1953252,0.6707538,121.97438000000001
disney,0.46287419999999996,0.30251886,-14.969963,0.793,0.0748771,0.7428922646,0.38355346894000003,0.16853030000000002,0.3685574,112.060854
drum-and-bass,0.535486,0.8766349999999999,-4.159624,0.471,0.0916362,0.025930575560000002,0.37143774644,0.2205559,0.32147390000000003,155.241712
dub,0.575321,0.714817,-6.04989,0.583,0.09729600000000001,0.1224407862,0.08852665392999999,0.1895502,0.3867285,129.450647
dubstep,0.518087,0.758969,-5.063413,0.596,0.0903804,0.1136410973,0.09307878863,0.19962649999999998,0.2717089,133.631709
edm,0.64822,0.756196,-5.280398,0.521,0.07038599999999999,0.11427024799999999,0.040052845249999997,0.19296719999999998,0.4651983,122.037299
electro,0.651749,0.665,-6.126304,0.569,0.07943040000000001,0.227599936,0.037723350860000004,0.1850172,0.46674329999999997,120.83505899999999
electronic,0.652945,0.6947523,-7.142963,0.512,0.08176779999999999,0.17702646910000003,0.24869727176,0.19077629999999998,0.39183890000000005,122.947839
emo,0.599321,0.6699669202999999,-6.718621,0.629,0.1089572,0.19508066629999998,0.03028117864,0.18373759999999997,0.441135,126.992643
folk,0.558514,0.545807,-9.032255,0.759,0.0587055,0.475332133,0.03767461184,0.17610659999999997,0.4906028,118.469526
forro,0.6497759999999999,0.789526,-5.1222010000000004,0.665,0.05718910000000001,0.39757555,0.0012565736,0.2949711,0.7606934,140.362197
french,0.6514675999999999,0.5949901999999999,-8.850678,0.482,0.1266466,0.34971259679,0.15883940872,0.1744812,0.42993950000000003,117.82008599999999
funk,0.678184,0.632999,-6.503946,0.564,0.15164850000000002,0.29965703309999997,0.00779820822,0.18055690000000002,0.5996525,117.755823
garage,0.48426440000000004,0.7443500000000001,-6.553586,0.678,0.0659337,0.16750723035999998,0.18986973912,0.2126866,0.5180332,127.048215
german,0.5243375,0.53171768,-11.318736000000001,0.56,0.0975087,0.38183399837000004,0.28890127507,0.1963818,0.37907799999999997,117.503453
gospel,0.473298,0.5762564,-7.195495,0.829,0.0412708,0.37689054299999997,0.00330670977,0.2986686,0.3206412,125.62512699999999
goth,0.478875,0.7409699202000001,-7.161212000000001,0.558,0.0730923,0.16407584244,0.11941419645000001,0.2303572,0.443546,124.267599
grindcore,0.2718537,0.924201,-6.238013,0.633,0.1374715,0.0086983045,0.53845566901,0.28123469999999995,0.2164336,119.22991499999999
groove,0.5839099999999999,0.7636218,-6.408986,0.528,0.0707264,0.1316428056,0.14554150927,0.2311153,0.42647250000000003,123.739211
grunge,0.457062,0.80329,-5.66096,0.659,0.0610544,0.05344148973,0.036983488950000004,0.22212610000000002,0.400373,129.349208
guitar,0.5400374,0.3249991859,-14.050918,0.691,0.0514369,0.773052655,0.5161544192899999,0.14967429999999998,0.4322858,112.00023900000001
happy,0.552847,0.910971,-5.416665,0.571,0.1198609,0.0572435269,0.26364107856999996,0.28414280000000003,0.32746749999999997,152.908962
hard-rock,0.48225,0.7950389999999999,-6.747002,0.651,0.0664507,0.09038445053,0.049617118509999995,0.22125999999999998,0.5143641,125.381797
hardcore,0.546411,0.842453,-5.776464,0.584,0.1493543,0.06491318171,0.06889598401000001,0.23517359999999998,0.4962738,125.376114
hardstyle,0.5392290000000001,0.901246,-4.345983,0.467,0.122424,0.0511382233,0.14268751914,0.2570746,0.3118884,146.83745199999998
heavy-metal,0.42849970000000004,0.8740030000000001,-5.756366,0.584,0.074557,0.014967978009999999,0.08255638091,0.2795502,0.3882028,126.61390700000001
hip-hop,0.736154,0.68253,-5.981618999999999,0.479,0.13035339999999998,0.19417496299999998,0.0109065493,0.1926446,0.5512478,116.769582
honky-tonk,0.5712229999999999,0.36695690000000003,-11.761584000000001,0.962,0.037221899999999995,0.7120060718,0.057094710990000005,0.1904161,0.631621,116.556879
house,0.668534,0.755083,-5.263968,0.508,0.0693883,0.108655858,0.03799165293,0.1879849,0.4946745,121.106951
idm,0.5278375,0.5553989500000001,-12.408888999999999,0.573,0.0754502,0.37767211412,0.67493109684,0.16831770000000001,0.3025475,123.29737700000001
indian,0.592273,0.567121,-8.850843999999999,0.694,0.0721358,0.484919069,0.03940822574,0.1729221,0.463024,116.142954
indie,0.587272,0.5561919000000001,-8.285909,0.754,0.06265509999999999,0.38038630683,0.05280611277,0.1603606,0.4679571,119.093452
indie-pop,0.60437,0.5611395,-7.996607,0.746,0.06586109999999999,0.37235657733,0.041932595339999996,0.1674189,0.4606154,120.17900900000001
industrial,0.530416,0.8617453,-6.024399000000001,0.637,0.0868167,0.03672752687,0.19203051923,0.2329869,0.4248738,126.831205
iranian,0.30068599999999995,0.5458459026000001,-13.080343000000001,0.547,0.0910141,0.41092916465,0.58984838166,0.19205080000000002,0.15353640000000002,114.769364
j-dance,0.680557,0.7037546,-6.0590399999999995,0.531,0.22040539999999997,0.23046908859999998,0.03067018381,0.18384999999999999,0.5643654,114.915894
j-idol,0.548819,0.8686773,-3.771215,0.728,0.0694834,0.15150795199,0.03723634038,0.2293279,0.5775307000000001,136.11200399999998
j-pop,0.551678,0.6796042,-6.279941,0.715,0.059366999999999996,0.28208791462,0.011578810799999999,0.1985291,0.5415591,124.61311500000001
j-rock,0.509069,0.7606839999999999,-5.693655,0.697,0.0644018,0.16859578103,0.0234557353,0.2236261,0.5377491999999999,128.52244199999998
jazz,0.5099750000000001,0.35295443,-11.578764999999999,0.756,0.055013,0.715815707,0.07956107896999999,0.1700251,0.490289,112.63646899999999
k-pop,0.647732,0.675654,-6.470775,0.519,0.0880245,0.29296819399999996,0.00982844532,0.1762963,0.5569152,119.24396899999999
kids,0.778906,0.6131286,-8.119189,0.731,0.1528456,0.2386349012,0.0197203884,0.1720335,0.6808638,121.750705
latin,0.721902,0.7270800000000001,-5.263596,0.55,0.0931231,0.183373435,0.00917700209,0.1742917,0.631149,119.812273
latino,0.757057,0.7317965000000001,-5.1769229999999995,0.527,0.1144216,0.17220078,0.00806694413,0.1731817,0.6302008,119.385197
malay,0.628617,0.5783966,-8.373605,0.557,0.0809715,0.404123097,0.00885122145,0.1731763,0.5015049,119.314765
mandopop,0.546532,0.4984339,-8.176785,0.77,0.039487499999999995,0.4802883056,0.00370949509,0.1593046,0.35016430000000004,123.47590600000001
metal,0.46428800000000003,0.840273,-5.425439,0.586,0.07026059999999999,0.037084863339999996,0.06460309569,0.20515809999999998,0.4179356,127.907465
metalcore,0.4238,0.914485,-4.457694,0.522,0.1102598,0.01028573078,0.04569475021,0.25818040000000003,0.31490179999999995,130.580195
minimal-techno,0.729395,0.6802720000000001,-9.771709999999999,0.529,0.0625747,0.07093270167,0.74453848094,0.1354632,0.2836202,124.74797
mpb,0.5740879999999999,0.5797871706,-9.110408,0.704,0.0565688,0.420858189,0.015458908759999999,0.33946390000000004,0.5564338,120.16105499999999
new-age,0.3484546,0.21450062,-18.520463,0.652,0.0456587,0.824022422,0.7130209027900001,0.2004907,0.1831672,107.958746
opera,0.31356310000000004,0.31705399999999995,-13.575679000000001,0.744,0.046434199999999995,0.79493148246,0.16291521127000003,0.2198334,0.2152252,105.584558
pagode,0.577723,0.7121230000000001,-7.268763,0.696,0.0627869,0.53837212,0.0005658295000000001,0.5198638,0.687978,126.859308
party,0.667191,0.8712369999999999,-4.411871,0.759,0.0873481,0.09273522560000001,0.00168788099,0.28773885,0.6812349000000001,131.30032200000002
piano,0.4550983,0.32010256400000003,-17.013977999999998,0.724,0.0468513,0.704978913,0.51640990172,0.1448621,0.31326620000000005,118.08467399999999
pop,0.630441,0.606437,-6.953969,0.509,0.0799752,0.34369250999999995,0.00902630391,0.1582558,0.5062227,120.92707300000001
pop-film,0.597146,0.6045619,-7.871622,0.557,0.064057,0.44069561599999996,0.008123731810000001,0.166397,0.5292532999999999,117.257478
power-pop,0.47341,0.801688,-6.675975,0.787,0.0579358,0.08551097744000001,0.06388665367,0.22324619999999998,0.6145689999999999,134.651615
progressive-house,0.6239349999999999,0.813359,-5.421422,0.478,0.0676695,0.06138703639,0.20048227569,0.20933090000000001,0.36530009999999996,125.093636
psych-rock,0.502554,0.5615028,-9.984745,0.656,0.0473149,0.31522801724,0.09181969096999999,0.20263050000000002,0.564732,121.572999
punk,0.499778,0.809673,-5.727469,0.735,0.064181,0.08912129745,0.03888575537,0.2159331,0.5555907,133.60051800000002
punk-rock,0.507329,0.80998,-5.916501,0.728,0.0635081,0.08259563892,0.03218837973,0.23666890000000002,0.5669669,132.219025
r-n-b,0.614388,0.6381296706,-7.5394440000000005,0.722,0.0892185,0.3705621442,0.009955657029999999,0.2621831,0.6331639,124.038939
reggae,0.745331,0.7257910000000001,-5.292395000000001,0.546,0.1154054,0.175950025,0.00280537597,0.18832959999999999,0.647529,119.867602
reggaeton,0.758521,0.7387279999999999,-4.987124,0.511,0.1209521,0.16476341,0.0027859232,0.1703853,0.6427535,118.872403
rock,0.543609,0.6790711,-6.664480999999999,0.721,0.0499229,0.20924166109999998,0.02097829694,0.1725127,0.5389026,126.321238
rock-n-roll,0.5503020000000001,0.5266152,-9.381602999999998,0.83,0.0513818,0.5533451770000001,0.014221187790000001,0.22731200000000001,0.67049,120.390017
rockabilly,0.561202,0.6593719,-8.202449,0.77,0.0595629,0.44698917326,0.0252293276,0.2289194,0.726951,123.660635
romance,0.4321332,0.2943038,-13.205726,0.345,0.06481529999999999,0.8694951,0.05377302979,0.2107734,0.3934147,109.693052
sad,0.692378,0.4624701,-10.275018,0.609,0.13043110000000002,0.473710126,0.10574007977,0.1716106,0.4220495,119.06495
salsa,0.668288,0.724518,-6.922219,0.619,0.056160299999999996,0.46924546,0.01254381249,0.1823286,0.814838,119.91508900000001
samba,0.5748970000000001,0.6726435000000001,-8.490191999999999,0.654,0.0836434,0.48990308,0.00735576425,0.44319240000000004,0.6934091,118.122361
sertanejo,0.591647,0.710391,-5.4854449999999995,0.843,0.0648653,0.43662081999999997,0.00016029266,0.4742244,0.619325,127.052197
show-tunes,0.4637381,0.39874176,-10.682708,0.775,0.108183,0.6371923265,0.03786859097,0.21560839999999998,0.3788129,114.372216
singer-songwriter,0.562022,0.4341884,-9.779511000000001,0.846,0.0514857,0.552753542,0.02789156575,0.1501931,0.4142976,119.737322
ska,0.5806760000000001,0.793134,-6.352839,0.695,0.0721267,0.12157530015000001,0.03011484573,0.2714103,0.69672,128.338341
sleep,0.1679225,0.34207171670000003,-24.194084,0.707,0.056847,0.65725270108,0.72353913501,0.3577362,0.058187871,84.619491
songwriter,0.562022,0.4341884,-9.779511000000001,0.846,0.0514857,0.552753542,0.027891565750000003,0.1501931,0.4142976,119.737322
soul,0.600112,0.5338726,-8.284505999999999,0.689,0.0600308,0.4015648954,0.01363626904,0.1819059,0.5233104,114.62916899999999
spanish,0.6043099999999999,0.707777,-6.486594,0.656,0.0873142,0.26875821868000005,0.01730288238,0.2236962,0.5484960999999999,122.832437
study,0.68524,0.41065809999999997,-10.852780000000001,0.502,0.1000384,0.5306388080000001,0.7897574537000001,0.1612922,0.4027009,111.763835
swedish,0.590413,0.6220025,-7.776523,0.721,0.0648112,0.32420006772,0.02216727505,0.1903963,0.5329407,121.094523
synth-pop,0.620663,0.7131349,-8.204640999999999,0.612,0.0483371,0.15232235625,0.08232404800000001,0.18416916,0.5863771000000001,122.85003200000001
tango,0.537862,0.372828,-10.062361000000001,0.48,0.0798359,0.846208935,0.13971501043,0.2303476,0.5835295,114.55432
techno,0.684348,0.746413,-8.077874,0.556,0.0642115,0.08141377308,0.5400382181,0.1594341,0.3218783,128.255482
trance,0.583409,0.845272,-6.3297110000000005,0.484,0.0797055,0.0358702953,0.42350094276,0.23435740000000002,0.27688080000000004,133.276726
trip-hop,0.634695,0.6223630000000001,-9.239915000000002,0.483,0.0763031,0.22561481075,0.38376133848,0.1903421,0.4780688,118.74361599999999
turkish,0.616077,0.6098036,-8.224722,0.331,0.1050867,0.3211246845,0.0356028508,0.1807503,0.4623137,120.367607
world-music,0.414572,0.5329867402999999,-9.417547,0.869,0.041768,0.29954666447,0.09182382283,0.25039259999999997,0.25029526,121.393711
