movie,processed_movie,Associated Music Genres
   Sky High (2005),sky high,"folk,punk,dubstep,hard-rock,children,pop,singer-songwriter,kids,drum-and-bass,rock,metal,upbeat,electronic,fun"
   Four Lions (2010),four lions,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Hanna (2011),hanna,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Lady Macbeth (2016),lady macbeth,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Miss Stevens (2016),miss stevens,
   Before I Fall (2017),before i fall,"acoustic,piano,folk,ambient,chill,trip-hop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,world-music,electronic,indie"
   Dear Nathan,dear nathan,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Death Of Stalin (2017),the death of stalin,"acoustic,piano,ambient,classical,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Okja (2017),okja,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Flipped (2010),flipped,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Goat story,goat story,
   Happy Feet (2006-2011),happy feet,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Neon Demon (2016),the neon demon,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Truth Or Dare,truth or dare,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Buffalo ‘66 (1998),buffalo ‘66,
   Jingle Jangle: A Christmas Journey (2020),jingle jangle: a christmas journey,"indie,folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,musical-theatre,alternative,dance,upbeat,r-n-b,rock,fun,soul"
   This Boy's Life (1993),this boy's life,"acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   13 going on 30 (2004),13 going on 30,"indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
   Arthur Christmas,arthur christmas,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Singin' in the Rain (1952),singin' in the rain,"folk,pop,romantic,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
   Friday the 13th (1980),friday the 13th,"darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Footloose (1984),footloose,"acoustic,jazz,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Tetsuo: The Iron Man (1989),tetsuo: the iron man,"darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
   Then Came You (2018),then came you,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Death Proof (2007),death proof,"punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Blazing Saddles,blazing saddles,
   Time Freak (2018),time freak,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Pretty Baby (1978),pretty baby,
   Panic Room ( 2002 ),panic room,"piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,hard-rock,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   View Askewniverse,view askewniverse,
   Wonder Wheel (2017),wonder wheel,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Assassination of Jesse James by the Coward Robert Ford (2007),the assassination of jesse james by the coward robert ford,"acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Van Wilder (2002),van wilder,
   Flower (2017),flower,
   Cold Mountain ( 2003),cold mountain,"acoustic,indie,folk,ambient,piano,romantic,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,r-n-b,rock,soul"
   Mewtwo Strikes Back: Evolution (2019),mewtwo strikes back: evolution,
   25 watts,25 watts,
   Florence Foster Jenkins (2016),florence foster jenkins,"acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Other Woman (2014),the other woman,"jazz,piano,funk,indie-pop,dubstep,singer-songwriter,grime,acoustic,reggae,trap,trumpet,electronic,saxophone,alternative,blues,jazz-noir,drum-and-bass,hip-hop,rock,indie,soul"
   Nanny McPhee (2005),nanny mcphee,"folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,world-music,alternative,upbeat,rock,fun"
   High-Rise,high-rise,
   The Thing (2011),the thing,"darkwave,chill,ambient,synth-pop,retro,synthwave,downtempo,space,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Super (2010),super,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   A Simple Favor (2018),a simple favor,"chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
   The Seven Year Itch (1955),the seven year itch,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   The Pacifier (2005),the pacifier,"acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Vabank (Juliusz Machulski),vabank,"reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   Undisputed,undisputed,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Mary Shelley (2017),mary shelley,"acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The Barbie Diaries,the barbie diaries,
   Intouchables (2011),intouchables,
   American Pie,american pie,
   Laura (1944),laura,"jazz,piano,funk,downtempo,indie-pop,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,trumpet,chill,electronic,saxophone,alternative,blues,jazz-noir,rock,indie,soul"
   The Blues Brothers (1980),the blues brothers,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Takers,takers,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Menace II Society (1993),menace ii society,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Mallrats (1995),mallrats,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Planet Terror (2007),planet terror,"darkwave,punk,ambient,dubstep,hard-rock,drum-and-bass,dark-ambient,noise,rock,metal,electronic,industrial"
   Muhsin Bey,muhsin bey,
   Teen Beach Movie,teen beach movie,
   Pain and Gain (2013),pain and gain,
   Transformers (Bayverse),transformers,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Cinderella Man (2005),cinderella man,"acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Cool Runnings,cool runnings,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Final Destination 2 (2003),final destination 2,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Pretty in Pink (1986),pretty in pink,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   RoboCop,robocop,"punk,reggae,dubstep,hard-rock,ambient,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,rock,metal,chill,electronic"
   Clerks (1994),clerks,
   Bad News Bears (2005),bad news bears,"edm,pop,pump-up,hip-hop,rock,dance,electronic"
   Just Mercy (2019),just mercy,"acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Bad Teacher,bad teacher,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Planet of the Apes (1968),planet of the apes,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Heart (2006),heart,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Highlander (1986),highlander,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   True Romance (1993),true romance,"piano,pop,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,romantic,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
   Be With You,be with you,"acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   Cloverfield (2008),cloverfield,"acoustic,darkwave,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,dark-ambient,noise,new-age,rock,metal,world-music,electronic,industrial"
   Pan (2015),pan,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Intern (2015),the intern,
   Da 5 Bloods (2020),da 5 bloods,"acoustic,indie,folk,ambient,piano,patriotic,punk,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
   Alexander (2004),alexander,"acoustic,country,folk,punk,piano,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   What's Up with Love? (2002),what's up with love?,
   She’s All That,she’s all that,
   The Red Balloon (1956),the red balloon,
   Us and Them (2018),us and them,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Arthur and the Invisibles,arthur and the invisibles,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Stepford Wives (1975),the stepford wives,"darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
   Adventureland (2009),adventureland,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Miller's Crossing (1990),miller's crossing,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   The Forest of Love (2019),the forest of love,"piano,indie-pop,darkwave,dubstep,singer-songwriter,grime,noise,dark-ambient,acoustic,reggae,ambient,trap,metal,electronic,alternative,drum-and-bass,hip-hop,rock,indie,industrial"
   Gremlins 2: The New Batch,gremlins 2: the new batch,"darkwave,folk,ambient,metal,soundtrack,epic-fantasy,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Song of the South (1946),song of the south,"folk,children,pop,singer-songwriter,kids,upbeat,fun"
   Half Baked (1998),half baked,"reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   Un Chien Andalou (1929),un chien andalou,
   Love Wedding Repeat (2020),love wedding repeat,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Shoplifters,shoplifters,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Dear Zindagi,dear zindagi,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Spree,spree,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Young Frankenstein,young frankenstein,
   Show Me Love / Fucking Åmål (1998),show me love / fucking åmål,
   Trolls (film),trolls,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Clash of the Teetans,clash of the teetans,
   Frankenstein,frankenstein,"piano,pop,indie-pop,darkwave,folk,singer-songwriter,noise,dark-ambient,acoustic,ambient,metal,electronic,alternative,romantic,rock,r-n-b,indie,industrial,soul"
   Gone with the Wind (1939),gone with the wind,"acoustic,piano,folk,patriotic,punk,romantic,pop,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,r-n-b,indie,soul"
   The Willoughbys (2020),the willoughbys,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Frenzy (1972),frenzy,"piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Phantom of the Paradise (1974),phantom of the paradise,"acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Barbie in A Mermaid Tale,barbie in a mermaid tale,
   Yedi Bela Hüsnü (1982),yedi bela hüsnü,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Of Mice and Men (1992),of mice and men,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Pretty Woman (1990),pretty woman,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   The Boondock Saints (1999),the boondock saints,"punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Braveheart (1995),braveheart,"acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Jawbreaker (1999),jawbreaker,"reggae,ambient,dubstep,synthwave,trap,drum-and-bass,grime,hip-hop,dark-ambient,chill,electronic"
   Romy and Michele's High School Reunion (1997),romy and michele's high school reunion,
   Sabrina (1995),sabrina,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   25th Hour,25th hour,"punk,patriotic,alternative,soundtrack,rock,metal,world-music"
   My Fair Lady,my fair lady,"acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,musical-theatre,alternative,dance,upbeat,r-n-b,indie,fun,soul"
   Flight of the Phoenix (2004),flight of the phoenix,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Halloween (Rob Zombie remake/reboot timeline),halloween,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Thirteen (2003),thirteen,
   Van Helsing (2004),van helsing,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Match Point (2005),match point,"piano,pop,indie-pop,folk,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,electronic,alternative,romantic,drum-and-bass,rock,r-n-b,indie,soul"
   Public Enemies (2009),public enemies,"acoustic,country,folk,punk,reggae,dubstep,hard-rock,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Terrifier,terrifier,"darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Next Gen (2018),next gen,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   In Time (2011),in time,"punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   Jane Eyre (2011),jane eyre,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Muppets (2011 film),the muppets,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   A Royal Affair (2012),a royal affair,"acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The First Time (2012),the first time,"piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Radio Rebel (2012),radio rebel,
   Fack ju Göthe,fack ju göthe,
   Chef (2014),chef,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The Big Short (2015),the big short,"acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Raggedy Ann & Andy: A Musical Adventure (1977),raggedy ann & andy: a musical adventure,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   River's Edge (2018),river's edge,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   All Dogs Go to Heaven (1989),all dogs go to heaven,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Ant Bully,the ant bully,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Rescuers (1977),the rescuers,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Dorbees: Making Decisions,dorbees: making decisions,
   Monsters University (2013),monsters university,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Zathura,zathura,
   White Chicks (2004),white chicks,"reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   About Time (2013),about time,"acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   The Perfect Man (2005),the perfect man,"darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   The Last Unicorn (1982),the last unicorn,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   My Cousin Rachel,my cousin rachel,"piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   All About Lily Chou-Chou (2001),all about lily chou-chou,
   Valley Of The Dolls (1967),valley of the dolls,"acoustic,jazz,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Diary of a Wimpy Kid: The Long Haul,diary of a wimpy kid: the long haul,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   What If (2013),what if,"ambient,synthwave,downtempo,dark-ambient,chill,electronic,trip-hop"
   Trainwreck (2015),trainwreck,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Starter for 10,starter for 10,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Scrooged (1988),scrooged,"acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Raise the Red Lantern (1991),raise the red lantern,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Mr. Deeds (2002),mr. deeds,"folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Detroit Rock City (1999),detroit rock city,"acoustic,jazz,folk,ambient,funk,blues,pop,hip-hop,new-age,alternative,world-music,r-n-b,rock,soul"
   G.I. Joe (film series),g.i. joe,
   Home Alone (1990),home alone,"folk,children,pop,singer-songwriter,kids,upbeat,fun"
   K-12 (2019),k-12,
   Happy Days (Neşeli Günler; 1978),happy days,"folk,pop,romantic,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
   Arashi no Yoru ni,arashi no yoru ni,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   By the Sea (2015),by the sea,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Last Chance Harvey (2008),last chance harvey,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Mirror Mirror (2012),mirror mirror,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The Priests (2015),the priests,"ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
   Yojimbo (1961),yojimbo,"acoustic,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,synthwave,indie-pop,drum-and-bass,dark-ambient,rock,metal,chill,electronic,indie"
   Kabhi Khushi Kabhie Gham... (2001),kabhi khushi kabhie gham...,"acoustic,piano,folk,pop,romantic,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
   Sunrise: A Song of Two Humans,sunrise: a song of two humans,
"   Dhoom (Film Trilogy, 2004-2013)",dhoom,"acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Parenti serpenti (1992),parenti serpenti,
   Atlantics (2019),atlantics,"piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Feel the Beat (2020),feel the beat,"acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   My Cousin Vinny (1992),my cousin vinny,"reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   You Can't Take it With You (1938),you can't take it with you,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Moms' Night Out (2014),moms' night out,
   Charlie Bartlett,charlie bartlett,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Planes (2013),planes,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Shinbone Alley,shinbone alley,"folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   A Girl Walks Home Alone at Night (2014),a girl walks home alone at night,"piano,pop,indie-pop,darkwave,folk,singer-songwriter,noise,dark-ambient,acoustic,ambient,metal,electronic,alternative,romantic,rock,r-n-b,indie,industrial,soul"
   Bull Durham (1988),bull durham,"folk,edm,romantic,pop,singer-songwriter,electronic,pump-up,hip-hop,rock,dance,r-n-b,indie,soul"
   Adventures in Babysitting,adventures in babysitting,"acoustic,folk,ambient,reggae,dubstep,trap,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   Rams (2015),rams,
   The Book of Henry (2017),the book of henry,"acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
"   Me, Myself & Irene (2000)","me, myself & irene",
   Tremors,tremors,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Accattone (1961),accattone,
   The Dark Crystal (1982),the dark crystal,"acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   The Light Between Oceans (2016),the light between oceans,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Bloodsport (1988),bloodsport,"acoustic,country,folk,punk,piano,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Jeepers Creepers,jeepers creepers,"folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   Sing Street (2016),sing street,"acoustic,jazz,piano,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Eye Candy,eye candy,
   An Officer and a Gentleman (1982),an officer and a gentleman,"acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Miss Peregrine's Home for Peculiar Children (2016),miss peregrine's home for peculiar children,"acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   Central Intelligence,central intelligence,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Animalympics,animalympics,"folk,children,pop,singer-songwriter,kids,upbeat,fun"
   Click,click,"punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Gigi (1958),gigi,"folk,pop,romantic,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
   A Long Way Down (2014),a long way down,
   Bill & Ted Face the Music (2020),bill & ted face the music,"acoustic,jazz,folk,ambient,funk,blues,pop,hip-hop,new-age,alternative,world-music,r-n-b,rock,soul"
   Kill The Messenger,kill the messenger,"acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Beguiled (2017),the beguiled,"piano,soundtrack,indie-pop,patriotic,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,metal,world-music,chill,electronic,punk,alternative,drum-and-bass,rock,indie"
"   Maries Lied: Ich war, ich weiß nicht wo","maries lied: ich war, ich weiß nicht wo",
   In America (2002),in america,
   The Secret Life of Walter Mitty (2013),the secret life of walter mitty,"acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Alpha Dog (2006),alpha dog,"acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Grey (2011),the grey,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   2012 (2009 disaster film),2012,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   The Great Mouse Detective (1986),the great mouse detective,"acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Legend of the Guardians: The Owls of Ga'Hoole,legend of the guardians: the owls of ga'hoole,"acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Tango & Cash ( 1989),tango & cash,"punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   SubUrbia (1996),suburbia,"acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   The Chorus (2004),the chorus,"ambient,synth-pop,retro,synthwave,space,chill,electronic"
   Cloudy with a Chance of Meatballs (2009),cloudy with a chance of meatballs,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Space Jam (1996),space jam,"acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Boyz N the Hood (1991),boyz n the hood,"acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
